model_url,downloads,organization,model_name,date
https://huggingface.co/KBLab/piper-tts-nst-swedish,1,KBLab,piper-tts-nst-swedish,2023-05-18
https://huggingface.co/KBLab/wav2vec2-large-voxrex,17,KBLab,wav2vec2-large-voxrex,2023-05-18
https://huggingface.co/KBLab/bert-base-swedish-lowermix-reallysimple-ner,6258,KBLab,bert-base-swedish-lowermix-reallysimple-ner,2023-05-18
https://huggingface.co/KBLab/wav2vec2-large-voxrex-swedish,225,KBLab,wav2vec2-large-voxrex-swedish,2023-05-18
https://huggingface.co/KBLab/bert-base-swedish-cased-new,33,KBLab,bert-base-swedish-cased-new,2023-05-18
https://huggingface.co/KBLab/megatron-bert-base-swedish-cased-125k,6,KBLab,megatron-bert-base-swedish-cased-125k,2023-05-18
https://huggingface.co/KBLab/megatron-bert-base-swedish-cased-600k,15,KBLab,megatron-bert-base-swedish-cased-600k,2023-05-18
https://huggingface.co/KBLab/bert-base-swedish-cased,9978,KBLab,bert-base-swedish-cased,2023-05-18
https://huggingface.co/KBLab/bert-base-swedish-cased-neriob,6,KBLab,bert-base-swedish-cased-neriob,2023-05-18
https://huggingface.co/KBLab/bert-base-swedish-cased-ner,388,KBLab,bert-base-swedish-cased-ner,2023-05-18
https://huggingface.co/KBLab/bert-base-swedish-cased-squad-experimental,16262,KBLab,bert-base-swedish-cased-squad-experimental,2023-05-18
https://huggingface.co/KBLab/megatron-bert-large-swedish-cased-165k,56,KBLab,megatron-bert-large-swedish-cased-165k,2023-05-18
https://huggingface.co/KBLab/megatron-bert-large-swedish-cased-165-zero-shot,621,KBLab,megatron-bert-large-swedish-cased-165-zero-shot,2023-05-18
https://huggingface.co/KBLab/whisper-large-rixvox,8,KBLab,whisper-large-rixvox,2023-05-18
https://huggingface.co/KBLab/whisper-small-rixvox,6,KBLab,whisper-small-rixvox,2023-05-18
https://huggingface.co/KBLab/whisper-tiny-rixvox,5,KBLab,whisper-tiny-rixvox,2023-05-18
https://huggingface.co/KBLab/sentence-bert-swedish-cased,970,KBLab,sentence-bert-swedish-cased,2023-05-18
https://huggingface.co/KBLab/bert-base-swedish-cased-reallysimple-ner,334,KBLab,bert-base-swedish-cased-reallysimple-ner,2023-05-18
https://huggingface.co/KBLab/albert-base-swedish-cased-alpha,17,KBLab,albert-base-swedish-cased-alpha,2023-05-18
https://huggingface.co/KBLab/megatron-bert-large-swedish-cased-110k,2,KBLab,megatron-bert-large-swedish-cased-110k,2023-05-18
https://huggingface.co/KBLab/bart-base-swedish-cased,60,KBLab,bart-base-swedish-cased,2023-05-18
https://huggingface.co/KBLab/asr-voxrex-bart-base,2,KBLab,asr-voxrex-bart-base,2023-05-18
https://huggingface.co/KBLab/swedish-spacy-pipeline,1,KBLab,swedish-spacy-pipeline,2023-05-18
https://huggingface.co/KBLab/wav2vec2-large-voxpopuli-sv-swedish,10,KBLab,wav2vec2-large-voxpopuli-sv-swedish,2023-05-18
https://huggingface.co/KBLab/roberta-base-swedish-cased,204,KBLab,roberta-base-swedish-cased,2023-05-18
https://huggingface.co/KBLab/wav2vec2-large-xlsr-53-swedish,31,KBLab,wav2vec2-large-xlsr-53-swedish,2023-05-18
https://huggingface.co/KBLab/wav2vec2-base-voxpopuli-sv-swedish,4,KBLab,wav2vec2-base-voxpopuli-sv-swedish,2023-05-18
https://huggingface.co/KBLab/bert-base-swedish-cased-pos,28,KBLab,bert-base-swedish-cased-pos,2023-05-18
https://huggingface.co/KBLab/bert-base-swedish-cased-alpha,5,KBLab,bert-base-swedish-cased-alpha,2023-05-18
https://huggingface.co/KBLab/electra-base-swedish-cased-generator,78,KBLab,electra-base-swedish-cased-generator,2023-05-18
https://huggingface.co/KBLab/electra-base-swedish-cased-discriminator,7,KBLab,electra-base-swedish-cased-discriminator,2023-05-18
https://huggingface.co/KBLab/electra-small-swedish-cased-discriminator,1,KBLab,electra-small-swedish-cased-discriminator,2023-05-18
https://huggingface.co/KBLab/electra-small-swedish-cased-generator,14,KBLab,electra-small-swedish-cased-generator,2023-05-18
https://huggingface.co/KB/electra-small-swedish-cased-discriminator,1,KB,electra-small-swedish-cased-discriminator,2023-05-18
https://huggingface.co/KB/bert-base-swedish-cased-ner,11905,KB,bert-base-swedish-cased-ner,2023-05-18
https://huggingface.co/KB/bert-base-swedish-cased,18900,KB,bert-base-swedish-cased,2023-05-18
https://huggingface.co/KB/ALL-MODELS-MOVED-TO-KBLAB,0,KB,ALL-MODELS-MOVED-TO-KBLAB,2023-05-18
