model_url,downloads,organization,model_name,date
https://huggingface.co/KBLab/megatron.bert-large.wordpiece-64k-pretok.25k-steps,4,KBLab,megatron.bert-large.wordpiece-64k-pretok.25k-steps,2024-06-20
https://huggingface.co/KBLab/megatron.bert-large.wordpiece-32k-pretok.25k-steps,3,KBLab,megatron.bert-large.wordpiece-32k-pretok.25k-steps,2024-06-20
https://huggingface.co/KBLab/megatron.bert-large.unigram-64k-pretok.25k-steps,3,KBLab,megatron.bert-large.unigram-64k-pretok.25k-steps,2024-06-20
https://huggingface.co/KBLab/megatron.bert-large.unigram-32k-pretok.25k-steps,3,KBLab,megatron.bert-large.unigram-32k-pretok.25k-steps,2024-06-20
https://huggingface.co/KBLab/megatron.bert-large.spe-bpe-32k-pretok.25k-steps,3,KBLab,megatron.bert-large.spe-bpe-32k-pretok.25k-steps,2024-06-20
https://huggingface.co/KBLab/megatron.bert-large.bpe-64k-no_pretok.25k-steps,3,KBLab,megatron.bert-large.bpe-64k-no_pretok.25k-steps,2024-06-20
https://huggingface.co/KBLab/megatron.bert-base.wordpiece-64k-pretok.25k-steps,3,KBLab,megatron.bert-base.wordpiece-64k-pretok.25k-steps,2024-06-20
https://huggingface.co/KBLab/megatron.bert-base.wordpiece-64k-no_pretok.25k-steps,3,KBLab,megatron.bert-base.wordpiece-64k-no_pretok.25k-steps,2024-06-20
https://huggingface.co/KBLab/megatron.bert-base.wordpiece-32k-no_pretok.25k-steps,3,KBLab,megatron.bert-base.wordpiece-32k-no_pretok.25k-steps,2024-06-20
https://huggingface.co/KBLab/megatron.bert-base.wordpiece-32k-pretok.25k-steps,3,KBLab,megatron.bert-base.wordpiece-32k-pretok.25k-steps,2024-06-20
https://huggingface.co/KBLab/megatron.bert-base.unigram-64k-pretok.25k-steps,4,KBLab,megatron.bert-base.unigram-64k-pretok.25k-steps,2024-06-20
https://huggingface.co/KBLab/megatron.bert-base.unigram-64k-no_pretok.25k-steps,3,KBLab,megatron.bert-base.unigram-64k-no_pretok.25k-steps,2024-06-20
https://huggingface.co/KBLab/megatron.bert-base.unigram-32k-pretok.25k-steps,3,KBLab,megatron.bert-base.unigram-32k-pretok.25k-steps,2024-06-20
https://huggingface.co/KBLab/megatron.bert-base.unigram-32k-no_pretok.25k-steps,3,KBLab,megatron.bert-base.unigram-32k-no_pretok.25k-steps,2024-06-20
https://huggingface.co/KBLab/megatron.bert-base.spe-bpe-64k-pretok.25k-steps,3,KBLab,megatron.bert-base.spe-bpe-64k-pretok.25k-steps,2024-06-20
https://huggingface.co/KBLab/megatron.bert-base.spe-bpe-64k-no_pretok.25k-steps,3,KBLab,megatron.bert-base.spe-bpe-64k-no_pretok.25k-steps,2024-06-20
https://huggingface.co/KBLab/megatron.bert-base.spe-bpe-32k-pretok.25k-steps,3,KBLab,megatron.bert-base.spe-bpe-32k-pretok.25k-steps,2024-06-20
https://huggingface.co/KBLab/megatron.bert-base.bpe-64k-no_pretok.25k-steps,3,KBLab,megatron.bert-base.bpe-64k-no_pretok.25k-steps,2024-06-20
https://huggingface.co/KBLab/megatron.bert-base.spe-bpe-32k-no_pretok.25k-steps,3,KBLab,megatron.bert-base.spe-bpe-32k-no_pretok.25k-steps,2024-06-20
https://huggingface.co/KBLab/megatron.bert-base.bpe-32k-no_pretok.25k-steps,2,KBLab,megatron.bert-base.bpe-32k-no_pretok.25k-steps,2024-06-20
https://huggingface.co/KBLab/megatron.bert-large.unigram-64k-pretok.500k-steps,1,KBLab,megatron.bert-large.unigram-64k-pretok.500k-steps,2024-06-20
https://huggingface.co/KBLab/wav2vec2-large-xlsr-53-swedish,12976,KBLab,wav2vec2-large-xlsr-53-swedish,2024-06-20
https://huggingface.co/KBLab/robust-swedish-sentiment-multiclass,5544,KBLab,robust-swedish-sentiment-multiclass,2024-06-20
https://huggingface.co/KBLab/wav2vec2-large-voxrex-swedish,5762,KBLab,wav2vec2-large-voxrex-swedish,2024-06-20
https://huggingface.co/KBLab/megatron-bert-large-swedish-cased-165-zero-shot,119,KBLab,megatron-bert-large-swedish-cased-165-zero-shot,2024-06-20
https://huggingface.co/KBLab/bert-base-swedish-cased,1428,KBLab,bert-base-swedish-cased,2024-06-20
https://huggingface.co/KBLab/sentence-bert-swedish-cased,15360,KBLab,sentence-bert-swedish-cased,2024-06-20
https://huggingface.co/KBLab/emotional-classification,8,KBLab,emotional-classification,2024-06-20
https://huggingface.co/KBLab/bert-base-swedish-cased-pos,80,KBLab,bert-base-swedish-cased-pos,2024-06-20
https://huggingface.co/KBLab/bart-base-swedish-cased,56,KBLab,bart-base-swedish-cased,2024-06-20
https://huggingface.co/KBLab/piper-tts-nst-swedish,3,KBLab,piper-tts-nst-swedish,2024-06-20
https://huggingface.co/KBLab/wav2vec2-large-voxrex,18,KBLab,wav2vec2-large-voxrex,2024-06-20
https://huggingface.co/KBLab/bert-base-swedish-lowermix-reallysimple-ner,623,KBLab,bert-base-swedish-lowermix-reallysimple-ner,2024-06-20
https://huggingface.co/KBLab/bert-base-swedish-cased-new,76,KBLab,bert-base-swedish-cased-new,2024-06-20
https://huggingface.co/KBLab/megatron-bert-base-swedish-cased-125k,8,KBLab,megatron-bert-base-swedish-cased-125k,2024-06-20
https://huggingface.co/KBLab/megatron-bert-base-swedish-cased-600k,30,KBLab,megatron-bert-base-swedish-cased-600k,2024-06-20
https://huggingface.co/KBLab/bert-base-swedish-cased-neriob,22,KBLab,bert-base-swedish-cased-neriob,2024-06-20
https://huggingface.co/KBLab/bert-base-swedish-cased-ner,99,KBLab,bert-base-swedish-cased-ner,2024-06-20
https://huggingface.co/KBLab/bert-base-swedish-cased-squad-experimental,13,KBLab,bert-base-swedish-cased-squad-experimental,2024-06-20
https://huggingface.co/KBLab/megatron-bert-large-swedish-cased-165k,15,KBLab,megatron-bert-large-swedish-cased-165k,2024-06-20
https://huggingface.co/KBLab/whisper-large-rixvox,11,KBLab,whisper-large-rixvox,2024-06-20
https://huggingface.co/KBLab/whisper-small-rixvox,7,KBLab,whisper-small-rixvox,2024-06-20
https://huggingface.co/KBLab/whisper-tiny-rixvox,7,KBLab,whisper-tiny-rixvox,2024-06-20
https://huggingface.co/KBLab/bert-base-swedish-cased-reallysimple-ner,12,KBLab,bert-base-swedish-cased-reallysimple-ner,2024-06-20
https://huggingface.co/KBLab/albert-base-swedish-cased-alpha,31,KBLab,albert-base-swedish-cased-alpha,2024-06-20
https://huggingface.co/KBLab/megatron-bert-large-swedish-cased-110k,31,KBLab,megatron-bert-large-swedish-cased-110k,2024-06-20
https://huggingface.co/KBLab/asr-voxrex-bart-base,8,KBLab,asr-voxrex-bart-base,2024-06-20
https://huggingface.co/KBLab/swedish-spacy-pipeline,2,KBLab,swedish-spacy-pipeline,2024-06-20
https://huggingface.co/KBLab/wav2vec2-large-voxpopuli-sv-swedish,2,KBLab,wav2vec2-large-voxpopuli-sv-swedish,2024-06-20
https://huggingface.co/KBLab/roberta-base-swedish-cased,10,KBLab,roberta-base-swedish-cased,2024-06-20
https://huggingface.co/KBLab/wav2vec2-base-voxpopuli-sv-swedish,9,KBLab,wav2vec2-base-voxpopuli-sv-swedish,2024-06-20
https://huggingface.co/KBLab/bert-base-swedish-cased-alpha,9,KBLab,bert-base-swedish-cased-alpha,2024-06-20
https://huggingface.co/KBLab/electra-base-swedish-cased-generator,27,KBLab,electra-base-swedish-cased-generator,2024-06-20
https://huggingface.co/KBLab/electra-base-swedish-cased-discriminator,5,KBLab,electra-base-swedish-cased-discriminator,2024-06-20
https://huggingface.co/KBLab/electra-small-swedish-cased-discriminator,5,KBLab,electra-small-swedish-cased-discriminator,2024-06-20
https://huggingface.co/KBLab/electra-small-swedish-cased-generator,10,KBLab,electra-small-swedish-cased-generator,2024-06-20
https://huggingface.co/KB/electra-small-swedish-cased-discriminator,4,KB,electra-small-swedish-cased-discriminator,2024-06-20
https://huggingface.co/KB/bert-base-swedish-cased-ner,149559,KB,bert-base-swedish-cased-ner,2024-06-20
https://huggingface.co/KB/bert-base-swedish-cased,19711,KB,bert-base-swedish-cased,2024-06-20
